c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
Jonathan,Cafu,7.0,10/7/1991,Atacante,Cuiaba
Max,Alves,10.0,,Meio-Campo,Cuiaba
Isidro,Pitta,9.0,14/8/1999,Atacante,Cuiaba
William,Furtado,12.0,,Zagueiro,Cruzeiro
Jemerson,Nascimento,28.0,,Zagueiro,Gremio
Thiago,Almada,23.0,,Meio-Campo,Botafogo-Rj
Gustavo,Gomez,15.0,6/5/1993,Zagueiro,Palmeiras
Alex,Telles,13.0,,Zagueiro,Botafogo-Rj
John,,12.0,13/2/1996,Goleiro,Botafogo-Rj
Mayke,,12.0,10/11/1992,Zagueiro,Palmeiras
Marcos,Rocha,2.0,11/12/1988,Zagueiro,Palmeiras
Erick,Pulgar,5.0,15/1/1994,Meio-Campo,Flamengo
Guillermo,Varela,2.0,24/3/1993,Zagueiro,Flamengo
Eros,Mancuso,33.0,,Zagueiro,Fortaleza
Gustavo,Barreto,88.0,,Meio-Campo,Criciuma
Jair,Junior,8.0,,Meio-Campo,Vasco
Pablo,Millan,27.0,,Meio-Campo,Vasco
Jose,Bebanz,2.0,,Meio-Campo,Vasco
Andre,Ramalho,5.0,,Zagueiro,Corinthians
Mycael,,41.0,12/3/2004,Goleiro,Athletico-Pr
Fernando,Junior,6.0,,Zagueiro,Athletico-Pr
Juninho,Capixaba,29.0,6/7/1997,Zagueiro,Bragantino
Rafael,Borre,19.0,,Atacante,Internacional
Mariano,,25.0,23/6/1986,Zagueiro,Atletico-Mg
Lyanco,,2.0,,Zagueiro,Atletico-Mg
Luciano,Neves,10.0,,Meio-Campo,Sao Paulo
Igor,Vinicius,2.0,1/4/1997,Zagueiro,Sao Paulo
Renzo,Saravia,26.0,16/6/1993,Zagueiro,Atletico-Mg
Paulo,Vitor,27.0,26/7/1988,Meio-Campo,Atletico-Mg
Ruan,Netto,22.0,,Zagueiro,Sao Paulo
Bruno,Alves,34.0,16/4/1991,Zagueiro,Cuiaba
Filipe,Souza,5.0,,Meio-Campo,Cuiaba
Jose,Lopez,42.0,6/12/2000,Atacante,Palmeiras
Jose,Vivian,8.0,,Meio-Campo,Palmeiras
Willian,,29.0,19/11/1986,Meio-Campo,Vitoria
Gregore,,26.0,,Meio-Campo,Botafogo-Rj
Cuiabano,,66.0,16/2/2003,Zagueiro,Botafogo-Rj
Tiquinho,Soares,9.0,17/1/1991,Atacante,Botafogo-Rj
Patric,,14.0,25/3/1989,Zagueiro,Vitoria
