c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
Mauricio,,18.0,20/9/1988,Meio-Campo,Palmeiras
Igor,Gomes,3.0,17/3/1999,Zagueiro,Internacional
Damian,Suarez,22.0,,Zagueiro,Botafogo-Rj
Alisson,Santos,25.0,27/9/2002,Goleiro,Criciuma
Eder,Martins,23.0,,Atacante,Criciuma
Matias,Vina,17.0,,Zagueiro,Flamengo
Everton,Cebolinha,11.0,22/3/1996,Meio-Campo,Flamengo
Daniel,Junior,80.0,9/5/2002,Meio-Campo,Vitoria
Rafael,Monteiro,23.0,14/2/2004,Goleiro,Sao Paulo
Aldemir,Ferreira,47.0,,Meio-Campo,Sao Paulo
Nathan,Fernandes,32.0,16/2/2005,Atacante,Gremio
Abner,,23.0,21/9/1995,Zagueiro,Juventude
Eric,Rodrigues,7.0,,Meio-Campo,Bragantino
Vitinho,,22.0,1/4/1999,Meio-Campo,Cruzeiro
Carlos,Alves,33.0,,Atacante,Botafogo-Rj
Diego,Hernandez,77.0,,Atacante,Botafogo-Rj
Rodrigo,Battaglia,21.0,,Zagueiro,Atletico-Mg
Luiz,Gustavo,16.0,12/2/1994,Meio-Campo,Sao Paulo
Giovane,Nascimento,17.0,,Atacante,Corinthians
Bruno,Lopes,72.0,19/5/1995,Atacante,Vasco
Pedro,Raul,20.0,5/11/1996,Atacante,Corinthians
Danilo,Fernandes,1.0,3/4/1988,Goleiro,Bahia
Marcos,Victor,44.0,26/12/2001,Zagueiro,Bahia
Machado,,23.0,20/1/1996,Meio-Campo,Cruzeiro
Rony,,10.0,11/5/1995,Meio-Campo,Palmeiras
Lucas,Esquivel,37.0,,Zagueiro,Athletico-Pr
Bruno,Praxedes,21.0,,Meio-Campo,Vasco
Alan,Patrick,10.0,13/5/1991,Meio-Campo,Internacional
Tomas,Pochettino,7.0,,Meio-Campo,Fortaleza
Guilherme,Madruga,8.0,11/11/2000,Zagueiro,Cuiaba
Dudu,,21.0,7/1/1992,Meio-Campo,Vitoria
Caio,Conceicao,15.0,,Zagueiro,Vitoria
Lucas,Alario,31.0,,Atacante,Internacional
Robert,Renan,4.0,11/10/2003,Zagueiro,Internacional
Antonio,Capocasali,25.0,,Zagueiro,Fluminense
Gustavo,Prado,47.0,,Meio-Campo,Internacional
Douglas,Costa,90.0,,Meio-Campo,Fluminense
Daniel,Peixoto,72.0,,Meio-Campo,Juventude
Kaiky,Naves,34.0,,Zagueiro,Palmeiras
Nata,Felipe,36.0,,Zagueiro,Gremio
Mateo,Zuleta,19.0,,Meio-Campo,Atletico-Go
Romulo,,47.0,22/5/1987,Zagueiro,Atletico-Mg
Andre,Luis,97.0,21/4/1997,Atacante,Cuiaba
Rene,Martins,6.0,,Zagueiro,Internacional
Jan,Lucumi,17.0,,Atacante,Fluminense
Everton,Messias,55.0,24/2/2002,Atacante,Bragantino
Luciano,Gimenez,19.0,,Atacante,Cuiaba
Junior,Santos,11.0,11/10/1994,Atacante,Botafogo-Rj
Patrick,Paula,8.0,8/9/1999,Meio-Campo,Botafogo-Rj
Erick,Marcus,16.0,1/3/2004,Atacante,Vasco
Gatito,Fernandez,1.0,22/3/1988,Goleiro,Botafogo-Rj
Gabriel,Pires,22.0,18/9/1993,Meio-Campo,Fluminense
Hugo,Mallo,2.0,,Zagueiro,Internacional
Leo,Mana,35.0,6/4/2004,Zagueiro,Corinthians
Lucas,Kal,5.0,16/3/1996,Meio-Campo,Atletico-Go
Everton,,13.0,11/12/1988,Atacante,Gremio
Joaquin,Piquerez,22.0,24/8/1998,Zagueiro,Palmeiras
David,Terans,80.0,11/8/1994,Meio-Campo,Fluminense
Leo,Ortiz,3.0,3/1/1996,Meio-Campo,Flamengo
Lucas,Yorio,7.0,,Atacante,Athletico-Pr
Patryck,Lanza,36.0,18/1/2003,Zagueiro,Sao Paulo
Guilherme,Estrella,14.0,22/4/2006,Meio-Campo,Vasco
Allyson,Santos,3.0,,Zagueiro,Cuiaba
Gustavo,Nunes,39.0,,Meio-Campo,Gremio
Luiz,Almeida,1.0,,Goleiro,Criciuma
Charles,Aranguiz,20.0,,Meio-Campo,Internacional
Robert,,80.0,4/9/1991,Meio-Campo,Cruzeiro
Ze,Gabriel,23.0,21/1/1999,Meio-Campo,Vasco
Sergio,Junior,70.0,,Meio-Campo,Vasco
Mateus,Pasinato,14.0,,Goleiro,Cuiaba
Calebe,,10.0,30/4/2000,Meio-Campo,Fortaleza
Alex,Santana,80.0,13/5/1995,Meio-Campo,Athletico-Pr
Arthur,Viana,68.0,12/2/2004,Meio-Campo,Cruzeiro
Yarlen,,67.0,,Atacante,Botafogo-Rj
Matheus,Dias,41.0,9/5/2002,Meio-Campo,Internacional
Young,Moraes,50.0,,Goleiro,Sao Paulo
Joao,Caetano,4.0,,Zagueiro,Corinthians
Diego,Costa,4.0,21/7/1999,Zagueiro,Sao Paulo
Carlos,Miguel,22.0,9/10/1998,Goleiro,Corinthians
Victor,Hugo,29.0,11/5/2004,Meio-Campo,Flamengo
Marlon,,4.0,13/2/1994,Zagueiro,Fluminense
Ignacio,Laquintana,33.0,,Meio-Campo,Bragantino
Juan,Sforza,20.0,,Meio-Campo,Vasco
Giuliano,Galoppo,8.0,18/6/1999,Meio-Campo,Sao Paulo
Wesley,Franca,43.0,,Zagueiro,Flamengo
Mauricio,Lemos,4.0,,Zagueiro,Atletico-Mg
Luiz,Adriano,12.0,,Atacante,Vitoria
Ze,Vitor,30.0,2/9/2002,Meio-Campo,Athletico-Pr
Oscar,Estupinan,29.0,,Atacante,Bahia
Pedrinho,,38.0,13/4/1998,Meio-Campo,Atletico-Mg
Wesley,Teixeira,36.0,,Atacante,Corinthians
Werik,Popo,45.0,17/10/2001,Atacante,Juventude
Du,Queiroz,37.0,7/1/2000,Meio-Campo,Gremio
Iury,Castilho,7.0,6/9/1995,Atacante,Vitoria
Camutanga,,13.0,27/9/1993,Zagueiro,Vitoria
Endrick,,9.0,21/7/2006,Atacante,Palmeiras
Bruno,Uvini,25.0,,Zagueiro,Vitoria
Igor,Jesus,48.0,7/3/2003,Meio-Campo,Flamengo
Jemerson,Nascimento,34.0,,Zagueiro,Atletico-Mg
Bento,,1.0,10/6/1999,Goleiro,Athletico-Pr
Marcus,Alencar,77.0,,Meio-Campo,Fluminense
Gustavo,Mosquito,19.0,,Atacante,Corinthians
Rafael,Elias,19.0,,Atacante,Cruzeiro
Jefferson,Santos,47.0,,Atacante,Botafogo-Rj
Gabriel,Barros,19.0,25/10/2001,Atacante,Atletico-Go
Jose,Neto,2.0,,Zagueiro,Vitoria
John,Kennedy,9.0,18/5/2002,Atacante,Fluminense
Arthur,Gomes,11.0,,Atacante,Cruzeiro
Maycon,Barberan,7.0,,Meio-Campo,Corinthians
Vagner,Love,20.0,11/6/1984,Atacante,Atletico-Go
Joao,Pedro,11.0,3/9/1999,Atacante,Gremio
Mauricio,,27.0,20/9/1988,Meio-Campo,Internacional
Gary,Medel,17.0,,Zagueiro,Vasco
Leo,Realpe,2.0,,Zagueiro,Bragantino
Paulinho,,18.0,25/7/1988,Meio-Campo,Vasco
Gabriel,Pec,11.0,11/2/2001,Atacante,Vasco
Pablo,Castro,30.0,,Zagueiro,Flamengo
Jose,Ribeiro,16.0,,Zagueiro,Santos
Gabriel,Inocencio,12.0,20/8/1994,Meio-Campo,Santos
Lucas,Barbosa,45.0,22/2/2001,Zagueiro,Athletico-Pr
Vitor,Souza,31.0,,Zagueiro,Bahia
Nino,,33.0,10/4/1997,Zagueiro,Fluminense
Lucas,Ronier,98.0,26/11/2004,Atacante,Coritiba
Matheus,Nascimento,90.0,3/3/2004,Atacante,Botafogo-Rj
Pedro,Konzen,28.0,,Atacante,Internacional
Adyson,,44.0,22/9/2005,Meio-Campo,America-Mg
Eduardo,Simioni,36.0,,Atacante,Goias
Breno,,28.0,1/9/2000,Meio-Campo,America-Mg
Willian,,12.0,19/11/1986,Meio-Campo,Goias
Bruno,Alves,34.0,16/4/1991,Zagueiro,Gremio
Marlon,Gomes,25.0,14/12/2003,Meio-Campo,Vasco
Tomas,Rincon,25.0,,Meio-Campo,Santos
Rodrigo,Fernandez,14.0,3/1/1996,Meio-Campo,Santos
Carlos,Junior,25.0,,Zagueiro,Athletico-Pr
Joaquim,Henrique,28.0,,Zagueiro,Santos
Alfredo,Morelos,22.0,,Atacante,Santos
Kaio,Lima,37.0,,Meio-Campo,Coritiba
Matheus,Goncalves,25.0,18/8/2005,Atacante,Bragantino
Guilherme,,60.0,13/4/1995,Meio-Campo,Goias
Alesson,,27.0,16/2/1999,Atacante,Goias
Cristian,Tarouco,4.0,,Zagueiro,Fortaleza
Diego,,20.0,28/2/1985,Zagueiro,Goias
Matheus,Babi,9.0,,Atacante,Goias
Thiago,Galhardo,91.0,20/7/1989,Atacante,Fortaleza
Marlon,,6.0,13/2/1994,Zagueiro,America-Mg
Mateus,Henrique,36.0,2/10/2002,Zagueiro,America-Mg
Jory,,12.0,,Goleiro,America-Mg
Helibelton,Palacios,24.0,,Zagueiro,Cruzeiro
Luciano,Castan,4.0,13/9/1989,Zagueiro,Cruzeiro
Gabriel,Pires,14.0,18/9/1993,Meio-Campo,Botafogo-Rj
Diego,Costa,19.0,21/7/1999,Atacante,Botafogo-Rj
Neris,,27.0,,Zagueiro,Cruzeiro
Adryelson,,34.0,23/3/1998,Zagueiro,Botafogo-Rj
Lucas,Justen,46.0,,Zagueiro,Fluminense
Leanderson,Genesio,18.0,,Atacante,Fluminense
Carlos,Silva,4.0,,Zagueiro,Corinthians
Lucas,Verissimo,3.0,,Zagueiro,Corinthians
Gustavo,Campanharo,17.0,,Meio-Campo,Internacional
Gabriel,Moscardo,44.0,28/9/2005,Meio-Campo,Corinthians
Alerrandro,Souza,9.0,,Atacante,Bragantino
Romulo,Cruz,35.0,,Atacante,Athletico-Pr
Matheus,Nascimento,42.0,3/3/2004,Zagueiro,Athletico-Pr
Hugo,Moura,17.0,3/1/1998,Meio-Campo,Athletico-Pr
Ian,Luccas,20.0,11/2/2003,Meio-Campo,Cruzeiro
Julian,Palacios,10.0,,Atacante,Goias
Apodi,,22.0,13/12/1986,Atacante,Goias
Eder,,33.0,15/11/1986,Zagueiro,America-Mg
Julio,Goncalves,18.0,,Zagueiro,America-Mg
Thalisson,Gabriel,14.0,20/1/2002,Zagueiro,Coritiba
Andrey,,7.0,15/2/1998,Meio-Campo,Coritiba
Jamerson,Bahia,83.0,,Zagueiro,Coritiba
Robson,Fernandes,30.0,30/5/1991,Meio-Campo,Coritiba
Benjamin,Kuscevic,13.0,2/5/1996,Zagueiro,Coritiba
Talles,Costa,37.0,2/8/2002,Meio-Campo,Sao Paulo
Rafael,Ratao,11.0,,Atacante,Bahia
Lucas,Beraldo,35.0,,Zagueiro,Sao Paulo
Caio,Paulista,38.0,11/5/1998,Atacante,Sao Paulo
Lucas,Mugni,19.0,12/1/1992,Meio-Campo,Bahia
Johnny,Cardoso,30.0,,Meio-Campo,Internacional
Raniele,,14.0,31/12/1996,Meio-Campo,Cuiaba
Douglas,Moreira,19.0,,Meio-Campo,Santos
Manuel,Capasso,22.0,,Zagueiro,Vasco
Bruno,Melo,19.0,26/10/1992,Zagueiro,Goias
Magno,Silva,2.0,,Zagueiro,Goias
Gustavo,Garcia,32.0,4/1/2002,Zagueiro,Palmeiras
Erison,Souza,49.0,,Atacante,Sao Paulo
Matheuzinho,,34.0,8/9/2000,Zagueiro,Flamengo
Emmanuel,Martinez,5.0,4/6/1994,Meio-Campo,America-Mg
Everaldo,,37.0,28/5/1994,Meio-Campo,America-Mg
Martin,Benitez,10.0,17/6/1994,Meio-Campo,America-Mg
Leo,Ortiz,3.0,3/1/1996,Zagueiro,Bragantino
Mauricio,Prado,27.0,,Meio-Campo,Internacional
Luiz,Adriano,9.0,,Atacante,Internacional
Jean,Oliveira,8.0,,Meio-Campo,Santos
Gustavo,Nonato,7.0,,Meio-Campo,Santos
Lucas,Lima,23.0,9/7/1990,Meio-Campo,Santos
Luis,Suarez,9.0,,Atacante,Gremio
Edenilson,Santos,8.0,,Meio-Campo,Atletico-Mg
Fabio,Silva,2.0,24/12/1980,Meio-Campo,Gremio
Diogo,Barbosa,18.0,17/8/1992,Atacante,Coritiba
Sebastian,Gomez,19.0,,Meio-Campo,Coritiba
Robson,Bambu,30.0,12/11/1997,Zagueiro,Vasco
Renato,Augusto,8.0,8/2/1988,Meio-Campo,Corinthians
Thiago,Maia,8.0,22/3/1997,Meio-Campo,Flamengo
Hugo,,16.0,20/9/2001,Zagueiro,Botafogo-Rj
David,Fonseca,22.0,,Meio-Campo,Sao Paulo
Gabriel,Neves,20.0,11/8/1997,Meio-Campo,Sao Paulo
Nathan,,45.0,5/9/2001,Zagueiro,Sao Paulo
David,Duarte,33.0,24/1/1994,Zagueiro,Bahia
Imanol,Machuca,39.0,,Meio-Campo,Fortaleza
Deyverson,,16.0,8/5/1991,Atacante,Cuiaba
Lucas,Halter,3.0,2/5/2000,Zagueiro,Goias
Everton,Morelli,40.0,4/11/1997,Meio-Campo,Goias
Lucas,Kal,21.0,16/3/1996,Meio-Campo,America-Mg
Bruno,Mendez,25.0,10/9/1999,Zagueiro,Corinthians
Ruan,Oliveira,33.0,23/3/2000,Meio-Campo,Corinthians
Matheus,Jussa,18.0,,Meio-Campo,Cruzeiro
Reynaldo,Moraes,4.0,,Zagueiro,Coritiba
Marcelino,Moreno,10.0,,Meio-Campo,Coritiba
Camilo,Candido,38.0,,Zagueiro,Bahia
Rikelme,,20.0,16/7/2003,Meio-Campo,Cuiaba
Everson,Pires,22.0,,Goleiro,Atletico-Mg
Fabio,Santos,6.0,16/9/1985,Zagueiro,Corinthians
Vanderlan,,6.0,7/9/2002,Zagueiro,Palmeiras
Juan,Silva,31.0,,Atacante,Sao Paulo
Allano,,77.0,,Atacante,Goias
Willian,Farias,8.0,6/6/1989,Meio-Campo,Coritiba
Henrique,Buss,3.0,,Zagueiro,Coritiba
Natanael,,16.0,25/12/1990,Zagueiro,Coritiba
Filipe,Luis,16.0,9/8/1985,Zagueiro,Flamengo
Bruno,Rodrigues,9.0,7/3/1997,Atacante,Cruzeiro
Luan,Teixeira,13.0,,Zagueiro,Palmeiras
Jhonatan,Rosa,40.0,,Meio-Campo,Palmeiras
Alexandre,Egea,16.0,,Meio-Campo,America-Mg
Danilo,Avelar,22.0,9/6/1989,Zagueiro,America-Mg
Nata,,36.0,5/6/2001,Zagueiro,Gremio
Marcos,Vinicios,27.0,,Atacante,Bragantino
Hugo,,66.0,20/9/2001,Zagueiro,Goias
Leonel,Placido,24.0,,Zagueiro,Botafogo-Rj
Artur,Guimaraes,14.0,,Atacante,Palmeiras
Victor,Cuesta,15.0,19/11/1988,Zagueiro,Botafogo-Rj
Pedro,Neves,32.0,,Atacante,Fortaleza
Gonzalo,Escobar,33.0,,Zagueiro,Fortaleza
Islam,Slimani,9.0,,Atacante,Coritiba
Lucas,Ribeiro,30.0,19/1/1999,Zagueiro,Santos
Vitor,Bueno,8.0,5/9/1994,Meio-Campo,Athletico-Pr
Leo,Fernandez,17.0,,Meio-Campo,Fluminense
David,Braz,44.0,21/5/1987,Zagueiro,Fluminense
Fausto,Vera,5.0,26/3/2000,Meio-Campo,Corinthians
Giuliano,Paula,20.0,,Meio-Campo,Corinthians
Marcos,Leonardo,9.0,2/5/2003,Atacante,Santos
Matias,Rojas,10.0,,Meio-Campo,Corinthians
Matheus,Bianqui,17.0,31/1/1998,Meio-Campo,Coritiba
Hayner,,2.0,2/10/1995,Zagueiro,Coritiba
Keiller,,1.0,9/10/1996,Goleiro,Internacional
Cauan,Barros,88.0,,Meio-Campo,Vasco
Pablo,Maia,29.0,10/1/2002,Meio-Campo,Sao Paulo
Gabriel,Grando,12.0,,Goleiro,Gremio
Fransergio,,15.0,,Meio-Campo,Coritiba
Julio,Furch,11.0,,Atacante,Santos
Carlos,Pena,14.0,11/3/1992,Meio-Campo,Internacional
Aldemir,Ferreira,10.0,,Atacante,Gremio
Everton,Ribeiro,7.0,10/4/1989,Meio-Campo,Flamengo
Raphael,Veiga,23.0,19/6/1995,Meio-Campo,Palmeiras
Nicolas,,30.0,24/7/1997,Zagueiro,America-Mg
Cristian,Pavon,9.0,21/1/1996,Meio-Campo,Atletico-Mg
Aderlan,Silva,13.0,,Zagueiro,Bragantino
Joao,Sa,7.0,,Meio-Campo,Botafogo-Rj
Ricardo,Silva,45.0,3/8/1992,Zagueiro,America-Mg
Esteban,Burgos,26.0,,Zagueiro,America-Mg
Wesley,Gassova,36.0,,Meio-Campo,Corinthians
Wellington,Paulista,9.0,22/4/1983,Atacante,America-Mg
Raul,Bicalho,34.0,,Zagueiro,Bahia
Josue,,48.0,,Meio-Campo,Gremio
Tadeu,Ferreira,23.0,,Goleiro,Goias
Raphael,Guzzo,5.0,,Meio-Campo,Goias
Pedro,Santos,27.0,,Meio-Campo,Corinthians
Luan,Patrick,30.0,20/1/2002,Zagueiro,Bragantino
Joao,Paulo,34.0,29/6/1995,Goleiro,Santos
Kevin,,37.0,7/9/1997,Meio-Campo,Palmeiras
Wesley,Silva,11.0,,Atacante,Cruzeiro
Lucca,Tavares,45.0,,Atacante,Internacional
Sidimar,Sigolini,4.0,,Zagueiro,Goias
Oliveira,,6.0,17/10/1981,Meio-Campo,Cruzeiro
Guilherme,Camacho,29.0,,Meio-Campo,Santos
Nicolas,Hernandez,22.0,18/1/1998,Zagueiro,Internacional
Figueiredo,,15.0,14/8/2001,Atacante,Vasco
Bruno,Santos,13.0,18/11/1996,Meio-Campo,Goias
Lucas,Perri,12.0,10/12/1997,Goleiro,Botafogo-Rj
Yeferson,Soteldo,10.0,30/6/1997,Atacante,Santos
Sebastian,Ferreira,9.0,,Atacante,Vasco
Washington,Aguerre,93.0,,Goleiro,America-Mg
Fernando,Pereira,15.0,,Meio-Campo,Cruzeiro
Marcelo,Malaquias,5.0,,Zagueiro,Fortaleza
Lucas,Besozzi,22.0,,Atacante,Gremio
Victor,Luis,26.0,23/6/1993,Zagueiro,Coritiba
Luan,Santos,8.0,,Meio-Campo,Sao Paulo
Oscar,Mendez,23.0,,Meio-Campo,America-Mg
Felipe,Azevedo,11.0,10/1/1987,Atacante,America-Mg
Iago,Maidana,3.0,,Zagueiro,America-Mg
Andreas,Samaris,22.0,,Meio-Campo,Coritiba
Rodriguinho,,18.0,27/3/1988,Meio-Campo,Sao Paulo
Lucas,Rafael,45.0,,Zagueiro,Bragantino
Rodrigo,Varanda,65.0,11/1/2003,Atacante,America-Mg
Rodriguinho,,75.0,27/3/1988,Meio-Campo,America-Mg
Bruno,Gomes,6.0,4/4/2001,Meio-Campo,Coritiba
Thiago,Dombroski,55.0,20/6/2002,Zagueiro,Coritiba
Joao,Basso,2.0,,Zagueiro,Santos
Junior,Caicara,80.0,,Zagueiro,Santos
Gabriel,Franco,23.0,,Meio-Campo,Internacional
Stiven,Mendoza,20.0,27/6/1992,Meio-Campo,Santos
Ze,Vitor,44.0,2/9/2002,Zagueiro,Vasco
Vitor,Roque,9.0,28/2/2005,Atacante,Athletico-Pr
Cuiabano,,54.0,16/2/2003,Zagueiro,Gremio
Yony,Gonzalez,15.0,,Meio-Campo,Fluminense
Arturo,Vidal,23.0,22/5/1987,Meio-Campo,Athletico-Pr
Vinicius,Kaue,21.0,1/3/2003,Zagueiro,Athletico-Pr
Juninho,,8.0,23/10/1987,Meio-Campo,America-Mg
Matheus,Belem,44.0,13/3/2003,Zagueiro,Sao Paulo
Gonzalo,Mastriani,17.0,28/4/1993,Atacante,America-Mg
Vinicius,Mingotti,21.0,7/1/2000,Atacante,Bahia
Janderson,,39.0,26/2/1999,Atacante,Botafogo-Rj
Yani,Quintero,14.0,17/7/2002,Meio-Campo,Bragantino
Anderson,Silva,70.0,,Atacante,Goias
Gabriel,Dias,13.0,10/5/1994,Zagueiro,Vasco
Guilherme,Biro,26.0,20/4/2004,Atacante,Corinthians
Leo,Jardim,1.0,,Goleiro,Vasco
Luca,Orellano,14.0,,Meio-Campo,Vasco
Gilberto,Junior,99.0,,Atacante,Cruzeiro
Jandrei,,93.0,1/3/1993,Goleiro,Sao Paulo
Daniel,Simoes,55.0,,Meio-Campo,Fluminense
Daniel,Borges,20.0,23/3/1993,Zagueiro,America-Mg
Ryan,,66.0,27/8/2001,Zagueiro,Bahia
Philipe,Sampaio,94.0,11/11/1994,Zagueiro,Botafogo-Rj
Uendel,Goncalves,6.0,,Zagueiro,Cuiaba
Leo,Cittadini,18.0,27/2/1994,Meio-Campo,Bahia
Vitor,Jacare,29.0,24/10/1999,Atacante,Bahia
Cipriano,,38.0,,Zagueiro,Bragantino
Roni,,29.0,15/4/1999,Meio-Campo,Corinthians
Lucas,Souza,43.0,6/1/1998,Zagueiro,Goias
Caio,Alexandre,8.0,24/2/1999,Meio-Campo,Fortaleza
Dudu,,20.0,7/1/1992,Zagueiro,Fortaleza
Ronald,Falkoski,35.0,,Meio-Campo,Gremio
Paulo,Boia,47.0,,Meio-Campo,America-Mg
Matheus,Santos,79.0,29/7/1998,Zagueiro,Bahia
Matheus,Queiroz,25.0,12/2/1996,Goleiro,Flamengo
Guilherme,,29.0,13/4/1995,Atacante,Fortaleza
Thauan,Lara,36.0,22/1/2004,Zagueiro,Internacional
Rafael,Barbosa,1.0,20/2/1998,Goleiro,Cruzeiro
Bruno,Viana,5.0,,Zagueiro,Coritiba
Khellven,,2.0,25/2/2001,Meio-Campo,Athletico-Pr
Ivaldo,,3.0,,Zagueiro,Athletico-Pr
Matias,Segovia,19.0,,Meio-Campo,Botafogo-Rj
Joao,Lucas,13.0,9/3/1998,Zagueiro,Santos
Alex,,31.0,12/7/2001,Zagueiro,Santos
Sander,Bortolotto,6.0,,Zagueiro,Goias
Joao,Magno,45.0,,Atacante,Goias
Natan,Souza,4.0,,Zagueiro,Bragantino
Bruno,Uvini,15.0,,Zagueiro,Gremio
Murillo,,34.0,4/7/2002,Zagueiro,Corinthians
Silvio,Romero,18.0,22/7/1988,Atacante,Fortaleza
Diego,Goncalves,11.0,22/9/1994,Atacante,Goias
Messias,Junior,24.0,,Zagueiro,Santos
Sandry,Roberto,6.0,,Meio-Campo,Santos
Kevyson,,38.0,29/3/2004,Zagueiro,Santos
Andre,Luiz,38.0,22/8/1995,Atacante,Flamengo
Pedro,Rangel,22.0,29/6/2000,Goleiro,Fluminense
Iury,Castilho,99.0,6/9/1995,Atacante,Cuiaba
Pablo,Cepellini,10.0,,Meio-Campo,Cuiaba
Jean,Pedroso,47.0,,Zagueiro,Coritiba
Marcelo,Silva,7.0,28/9/1997,Atacante,Athletico-Pr
Marcos,Nascimento,32.0,,Atacante,Sao Paulo
Luis,Oyama,55.0,,Meio-Campo,Goias
Bruno,Mezenga,88.0,8/8/1988,Atacante,Santos
Vladimir,Filho,1.0,,Goleiro,Santos
Matheus,Santos,30.0,29/7/1998,Atacante,Goias
Luan,Dias,97.0,31/7/1997,Meio-Campo,Santos
Rodrigo,Pinho,9.0,,Atacante,Coritiba
Luan,Polli,27.0,6/4/1993,Goleiro,Coritiba
Alef,Manga,11.0,29/11/1994,Meio-Campo,Coritiba
Roger,Guedes,10.0,2/10/1996,Atacante,Corinthians
Andre,Dhominique,13.0,,Zagueiro,Bahia
Ronald,,8.0,18/6/1997,Meio-Campo,Cuiaba
Diogo,Batista,29.0,29/8/2003,Zagueiro,Coritiba
Ze,Ricardo,5.0,9/3/1996,Meio-Campo,Goias
Gabriel,Ferreira,1.0,,Goleiro,Coritiba
Aloisio,Goncalves,99.0,,Atacante,America-Mg
Alan,Kardec,14.0,12/1/1989,Atacante,Atletico-Mg
Patryck,,36.0,,Zagueiro,Sao Paulo
Eguinaldo,,21.0,9/8/2004,Atacante,Vasco
Lucas,Silva,44.0,16/2/1993,Zagueiro,Santos
Mateus,Pasinato,14.0,,Goleiro,America-Mg
Henrique,Dourado,99.0,,Atacante,Cruzeiro
Bento,Krepski,1.0,,Goleiro,Athletico-Pr
John,Furtado,31.0,,Goleiro,Internacional
Andrey,Santos,18.0,3/5/2004,Meio-Campo,Vasco
Kayky,,37.0,11/6/2003,Meio-Campo,Bahia
Breno,Lopes,19.0,24/1/1996,Atacante,Palmeiras
Hyoran,,20.0,25/5/1993,Meio-Campo,Atletico-Mg
Wallisson,Luiz,5.0,,Meio-Campo,Cruzeiro
Rodrigo,Moledo,4.0,27/10/1987,Zagueiro,Internacional
Marcio,Oliveira,25.0,,Zagueiro,America-Mg
Rafael,Silva,2.0,26/5/1995,Zagueiro,Botafogo-Rj
Alex,Teixeira,7.0,6/1/1990,Atacante,Vasco
Junior,Urso,23.0,,Meio-Campo,Coritiba
Mila,,45.0,28/1/2003,Meio-Campo,Gremio
Jean,Dias,38.0,22/10/1990,Atacante,Internacional
Gabriel,Mesquita,91.0,14/9/1998,Goleiro,Cruzeiro
Neto,,8.0,12/1/1997,Meio-Campo,Cruzeiro
Pedro,Goncalves,34.0,,Zagueiro,Athletico-Pr
Kayque,,62.0,19/2/2003,Meio-Campo,Botafogo-Rj
David,Terans,10.0,11/8/1994,Meio-Campo,Athletico-Pr
Vinicius,Zanocelo,25.0,30/1/2001,Meio-Campo,Fortaleza
Renato,Marques,78.0,9/12/2003,Atacante,America-Mg
Nathanael,Silva,40.0,,Zagueiro,Atletico-Mg
Deivid,Washington,36.0,5/6/2005,Atacante,Santos
Cassio,Ramos,12.0,,Goleiro,Corinthians
Fellipe,Bastos,8.0,1/2/1990,Meio-Campo,Goias
Wesley,Pombo,57.0,,Atacante,Coritiba
Patric,,94.0,25/3/1989,Zagueiro,Cuiaba
Igor,Formiga,33.0,8/1/1999,Zagueiro,Cruzeiro
Adriel,,31.0,14/1/2001,Goleiro,Gremio
Andre,Henrique,77.0,12/4/2003,Atacante,Gremio
Wellington,Silva,11.0,6/3/1988,Atacante,Cuiaba
Angelo,Gabriel,11.0,,Meio-Campo,Santos
Daniel,Rivera,7.0,,Atacante,Santos
Patrick,,49.0,29/7/1992,Meio-Campo,Atletico-Mg
Liziero,,31.0,7/2/1998,Meio-Campo,Coritiba
Ze,Roberto,18.0,14/9/1993,Atacante,Coritiba
Moises,Veiga,21.0,,Meio-Campo,Fortaleza
Brayan,Ceballos,3.0,24/5/2001,Zagueiro,Fortaleza
Pedro,Raul,9.0,5/11/1996,Atacante,Vasco
Thiago,Andrade,19.0,,Atacante,Athletico-Pr
Luis,Segovia,4.0,,Zagueiro,Botafogo-Rj
Matheus,Peixoto,17.0,16/11/1995,Atacante,Goias
Dodo,,95.0,6/2/1992,Meio-Campo,Goias
Marcos,Vinicius,22.0,26/3/1997,Zagueiro,Coritiba
Nathan,Santos,22.0,,Zagueiro,Santos
Calebe,Silva,27.0,,Meio-Campo,Fortaleza
Alexandre,Alemao,35.0,,Atacante,Internacional
Mateusinho,,98.0,7/10/1998,Zagueiro,Cuiaba
Giovanni,Ribeiro,37.0,,Meio-Campo,Fluminense
Arturo,Vidal,32.0,22/5/1987,Meio-Campo,Flamengo
Rai,Ramos,34.0,6/5/1994,Zagueiro,Sao Paulo
Matias,Galarza,19.0,11/2/2002,Meio-Campo,Vasco
Vinicius,Silva,7.0,8/2/1992,Meio-Campo,Goias
Gabriel,Barros,42.0,25/10/2001,Atacante,Internacional
Jhoanner,Chavez,6.0,,Meio-Campo,Bahia
Lucas,Silva,18.0,16/2/1993,Meio-Campo,Botafogo-Rj
Vina,,11.0,15/4/1991,Meio-Campo,Gremio
Gabriel,Boschilia,35.0,,Meio-Campo,Coritiba
Matheus,Cavichioli,1.0,27/7/1986,Goleiro,America-Mg
Mateus,Martins,27.0,8/10/1999,Atacante,America-Mg
Richard,Coelho,25.0,,Meio-Campo,Cruzeiro
